vname,cdate
A/Scotland/76/2003|CY088128|2003.84047932,2003.84047932
A/Denmark/107/2003|EU103941|2003.00269473,2003.00269473
A/Canterbury/58/2000|CY009150|2000.68167549,2000.68167549
A/New_York/182/2000|CY001279|2000.13410386,2000.13410386
A/Mexico/InDRE940/2003|CY100628|2003.00269473,2003.00269473
A/DaNang/DN434/2008|CY104616|2008.86513347,2008.86513347
A/Managua/25/2007|CY032439|2007.48730636,2007.48730636
A/Boston/57/2008|CY044710|2008.15055249,2008.15055249
A/Oregon/15/2009|GQ895004|2009.48183602,2009.48183602
A/Hong_Kong/H090_695_V10/2009|CY115_009|2009.52290389,2009.52290389
A/Minab/797/2011|KC865620|2011.98013157,2011.98013157
A/Peru/PER247/2011|CY162234|2011.65158859,2011.65158859
A/Nebraska/15/2011|KC892583|2011.95549084,2011.95549084
A/Maryland/21/2011|KC892695|2011.98560728,2011.98560728
A/Indiana/03/2012|KC892731|2012.2573396999999,2012.2573397
A/Maryland/03/2013|KF789621|2013.11223591,2013.11223591
A/Hawaii/02/2013|KF789866|2013.40518673,2013.40518673
A/Boston/DOA2_107/2012|CY148382|2012.83776563,2012.83776563
A/New_Hampshire/12/2012|KF790252|2012.85693064,2012.85693064
